Companies,Category
Bayernwerk,Horizontal_Directional_Drilling
Deutsche_Bahn,Horizontal_Directional_Drilling
Deutsche_Telekom,Horizontal_Directional_Drilling
EWE_Netz,Horizontal_Directional_Drilling
Harz_Energie,Horizontal_Directional_Drilling
Stadtwerke_München,Horizontal_Directional_Drilling
Westnetz,Horizontal_Directional_Drilling
Windpark,Horizontal_Directional_Drilling
